ID,时间,分类,类型,金额,币种,账户1,账户2,备注,已报销,关联账单
qj164557519658713625,2022/2/23 8:13,三餐,支出,3,CNY,微信,,,,
qj164557520141414362,2022/2/23 8:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164558788680319975,2022/2/23 11:44,交通,支出,0.3,CNY,邮政储蓄,,云闪付公交地铁周卡,,
qj164559001664718711,2022/2/23 12:20,三餐,支出,14,CNY,微信,,,,
qj164566032377210753,2022/2/23 12:20,做饭,支出,9.8,CNY,微信,,面,,
qj164566033404212170,2022/2/23 19:52,做饭,支出,2.2,CNY,微信,,蒜头2个,,
qj164566034682319775,2022/2/23 19:52,做饭,支出,1.5,CNY,微信,,香菇,,
qj164566035901211363,2022/2/23 19:52,做饭,支出,0.9,CNY,微信,,上海青,,
qj164566039170414946,2022/2/23 19:52,三餐,支出,3,CNY,微信,,酱香饼,,
qj164567601575710385,2022/2/24 12:13,三餐,支出,16.8,CNY,微信,,,,
qj164567601759616400,2022/2/24 12:13,三餐,支出,3,CNY,微信,,,,
qj164567602132412394,2022/2/24 12:13,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164570659628010719,2022/2/24 20:43,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164570659828817194,2022/2/24 20:43,三餐,支出,3,CNY,微信,,,,
qj164570660542118089,2022/2/24 20:43,做饭,支出,2,CNY,微信,,番茄,,
qj164580214114816922,2022/2/24 23:15,利息,收入,0.06,CNY,支付宝,,累计123.49,,
qj164574750077116501,2022/2/25 8:04,三餐,支出,3,CNY,微信,,,,
qj164574750497312477,2022/2/25 8:05,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164576735759014701,2022/2/25 13:35,三餐,支出,14.8,CNY,微信,,,,
qj164576736989118117,2022/2/25 13:36,零食,支出,2.75,CNY,微信,,,,
qj164576737451518803,2022/2/25 13:36,三餐,支出,4.5,CNY,微信,,,,
qj164580189354819997,2022/2/25 23:11,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164580190723817621,2022/2/25 23:11,做饭,支出,1.5,CNY,微信,,筷子,,
qj164580191554712529,2022/2/25 23:11,做饭,支出,1.5,CNY,微信,,蘑菇,,
qj164580191975711000,2022/2/25 23:11,做饭,支出,0.8,CNY,微信,,上海青,,
qj164580194072610637,2022/2/25 23:12,做饭,支出,6.6,CNY,微信,,家猪前腿肉,,
qj164580198269416263,2022/2/25 23:13,零食,支出,4,CNY,微信,,,,
qj164580199876518242,2022/2/25 23:13,利息,收入,0.04,CNY,微信,,累计74.03,,
qj164580260113219523,2022/2/25 23:23,利息,收入,0.61,CNY,招商储蓄,,,,
qj164580328504116884,2022/2/25 23:34,其它,转账,1000,CNY,招商储蓄,邮政储蓄,,,
qj164586433546617616,2022/2/26 16:31,做饭,支出,9.4,CNY,微信,,前腿瘦肉,,
qj164586434249519965,2022/2/26 16:32,做饭,支出,2.1,CNY,微信,,猫芽米,,
qj164586434835414170,2022/2/26 16:32,做饭,支出,2.5,CNY,微信,,白糖,,
qj164586435201419937,2022/2/26 16:32,做饭,支出,1.5,CNY,微信,,娃娃菜,,
qj164586440306417428,2022/2/26 16:33,做饭,支出,8.7,CNY,微信,,绿豆,,
qj164594875791718475,2022/2/27 15:59,三餐,支出,6,CNY,微信,,,,
qj164594878518911148,2022/2/27 15:59,做饭,支出,7.9,CNY,微信,,五花肉,,
qj164594879181319536,2022/2/27 15:59,做饭,支出,2,CNY,微信,,豆腐,,
qj164594880506510755,2022/2/27 16:00,零食,支出,2.9,CNY,微信,,,,
qj164594880734513392,2022/2/27 16:00,三餐,支出,3,CNY,微信,,,,
qj164605558184219166,2022/2/28 21:39,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164605558652113296,2022/2/28 21:39,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164605559866013172,2022/2/28 21:39,交通,支出,2,CNY,微信,,,,
qj164605560188110414,2022/2/28 21:40,三餐,支出,3,CNY,微信,,,,
qj164605560570411054,2022/2/28 21:40,三餐,支出,14.8,CNY,微信,,,,
qj164605560856319092,2022/2/28 21:40,三餐,支出,5.9,CNY,微信,,,,
qj164605561994214934,2022/2/28 21:40,三餐,支出,3,CNY,现金,,,,
qj164605562235816404,2022/2/28 21:40,三餐,支出,10,CNY,现金,,,,
qj164605968571314710,2022/2/28 22:48,做饭,支出,23.8,CNY,支付宝,,便当盒,,
qj164623846687718135,2022/3/1 0:27,外快,收入,450,CNY,支付宝,,三个单,,
qj164609688477218361,2022/3/1 9:07,三餐,支出,3,CNY,现金,,,,
qj164623834939315814,2022/3/1 13:22,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164612254458916147,2022/3/1 16:15,三餐,支出,12.8,CNY,邮政储蓄,,,,
qj164612254920717286,2022/3/1 16:15,三餐,支出,9,CNY,微信,,,,
qj164612256017312655,2022/3/1 16:16,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164614235359013144,2022/3/1 21:45,做饭,支出,5.9,CNY,支付宝,,锅铲,,
qj164614237530510887,2022/3/1 21:46,做饭,支出,13.8,CNY,邮政储蓄,,,,
qj164623792513514305,2022/3/2 12:18,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164623793852418814,2022/3/2 12:18,三餐,支出,15,CNY,邮政储蓄,,,,
qj164623794836415932,2022/3/2 12:19,交通,支出,2,CNY,邮政储蓄,,,,
qj164623814254914214,2022/3/2 12:22,交通,支出,0.99,CNY,邮政储蓄,,3月月卡,,
qj164619855182311147,2022/3/2 13:22,三餐,支出,3,CNY,现金,,,,
qj164619855952514783,2022/3/2 13:22,三餐,支出,19.8,CNY,邮政储蓄,,,,
qj164623791566415663,2022/3/2 13:22,三餐,支出,3,CNY,现金,,,,
qj164623792206113401,2022/3/2 13:22,交通,支出,6,CNY,邮政储蓄,,,,
qj164623845045212752,2022/3/2 13:22,利息,收入,0.05,CNY,支付宝,,,,
qj164627802008313254,2022/3/3 11:26,三餐,支出,3,CNY,现金,,,,
qj164627802491214324,2022/3/3 11:27,三餐,支出,24.9,CNY,支付宝,,麦当当,,
qj164627802943612597,2022/3/3 11:27,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164627846717815340,2022/3/3 11:34,其它,支出,39.7,CNY,支付宝,,良品铺子,,
qj164627847086410620,2022/3/3 11:34,其它,支出,39.7,CNY,支付宝,,,,
qj164628443528418625,2022/3/3 13:13,住房,支出,482,CNY,邮政储蓄,,2月的房租433+电费11+网费37,,
qj164630706429512684,2022/3/3 19:31,做饭,支出,6.8,CNY,邮政储蓄,,厨邦酱油410ml,,
qj164630709377117249,2022/3/3 19:31,交通,支出,1.8,CNY,邮政储蓄,,,,
qj164630709740612012,2022/3/3 19:31,交通,支出,6,CNY,邮政储蓄,,,,
qj164631286178218550,2022/3/3 21:07,做饭,支出,13.8,CNY,支付宝,,锅盖,,
qj164632431656113474,2022/3/4 0:18,利息,收入,0.01,CNY,微信,,,,
qj164641090662110901,2022/3/4 0:21,做饭,支出,2.6,CNY,邮政储蓄,,米,,
qj164636747595812901,2022/3/4 12:17,三餐,支出,15.8,CNY,邮政储蓄,,,,
qj164636748365118455,2022/3/4 12:18,零食,支出,3.2,CNY,邮政储蓄,,,,
qj164641094101812094,2022/3/4 12:22,做饭,支出,9.8,CNY,邮政储蓄,,安记原味咖喱,,
qj164641096120116936,2022/3/4 12:22,做饭,支出,4.3,CNY,邮政储蓄,,长蒲瓜,,
qj164646001239617472,2022/3/4 14:00,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164639556077416252,2022/3/4 20:06,三餐,支出,9.9,CNY,邮政储蓄,,,,
qj164639556358519723,2022/3/4 20:06,零食,支出,4,CNY,邮政储蓄,,,,
qj164641092428814493,2022/3/4 20:06,做饭,支出,10,CNY,邮政储蓄,,梅花肉,,
qj164646000994216364,2022/3/4 20:06,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164645949177412735,2022/3/5 13:50,零食,支出,1.9,CNY,邮政储蓄,,旺旺碎冰冰,,
qj164645954777719843,2022/3/5 13:52,做饭,支出,3.3,CNY,邮政储蓄,,红洋葱2,,
qj164645959770512130,2022/3/5 13:53,做饭,支出,3,CNY,邮政储蓄,,平包菜,,
qj164645960563819230,2022/3/5 13:53,做饭,支出,1,CNY,邮政储蓄,,土豆,,
qj164645961744910537,2022/3/5 13:53,做饭,支出,0.8,CNY,邮政储蓄,,上海青,,
qj164645962922510736,2022/3/5 13:53,做饭,支出,20.4,CNY,邮政储蓄,,五花肉,,
qj164645964108216076,2022/3/5 13:54,做饭,支出,6,CNY,邮政储蓄,,3个鸡腿,,
qj164645965042219138,2022/3/5 13:54,做饭,支出,0.2,CNY,邮政储蓄,,袋子,,
qj164655088222317314,2022/3/5 15:14,三餐,支出,18,CNY,邮政储蓄,,,,
qj164655088694417110,2022/3/5 15:14,零食,支出,3.5,CNY,邮政储蓄,,,,
qj164655098290511601,2022/3/5 15:16,其它,支出,40,CNY,邮政储蓄,,一年的服务器，腾讯云,,
qj164655089150912669,2022/3/6 15:14,三餐,支出,7,CNY,邮政储蓄,,,,
qj164655090251813458,2022/3/6 15:15,做饭,支出,6.3,CNY,邮政储蓄,,,,
qj164655095095910710,2022/3/6 15:15,交通,支出,1.5,CNY,邮政储蓄,,,,
qj164656758422614422,2022/3/6 19:53,三餐,支出,10,CNY,邮政储蓄,,,,
qj164656759190219058,2022/3/6 19:53,三餐,支出,9,CNY,邮政储蓄,,,,
qj164656759936513557,2022/3/6 19:53,零食,支出,5.4,CNY,邮政储蓄,,,,
qj164656760995613372,2022/3/6 19:53,三餐,支出,10,CNY,邮政储蓄,,,,
qj164657848515717364,2022/3/6 22:54,理发,支出,25,CNY,邮政储蓄,,,,
qj164667080829517395,2022/3/7 0:33,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164667085873919605,2022/3/7 0:34,交通,支出,1.5,CNY,邮政储蓄,,,,
qj164667088969617905,2022/3/7 0:34,三餐,支出,7,CNY,邮政储蓄,,,,
qj164667089347011762,2022/3/7 0:34,三餐,支出,10,CNY,邮政储蓄,,,,
qj164661257721811050,2022/3/7 8:22,三餐,支出,3,CNY,邮政储蓄,,,,
qj164667081603115298,2022/3/7 8:22,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164667085053713574,2022/3/7 8:22,交通,支出,1.45,CNY,邮政储蓄,,,,
qj164667087923216578,2022/3/7 8:22,做饭,支出,13.9,CNY,邮政储蓄,,鸡蛋,,
qj164672998077111509,2022/3/7 16:59,工资,收入,1914.74,CNY,招商储蓄,,,,
qj164673630688717214,2022/3/8 18:44,其它,转账,1000,CNY,招商储蓄,邮政储蓄,,,
qj164673631267819828,2022/3/8 18:45,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164673631475915849,2022/3/8 18:45,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164673631857113380,2022/3/8 18:45,交通,支出,2,CNY,邮政储蓄,,,,
qj164673632603910207,2022/3/8 18:45,零食,支出,4,CNY,邮政储蓄,,,,
qj164675249543615357,2022/3/8 23:14,做饭,支出,6.5,CNY,邮政储蓄,,米,,
qj164679265979515433,2022/3/8 23:14,其它,支出,20,CNY,邮政储蓄,,小陈,,
qj164675776913713306,2022/3/9 0:42,其它,转账,916.34,CNY,招商储蓄,邮政储蓄,,,
qj164680056394612556,2022/3/9 12:36,三餐,支出,3,CNY,现金,,,,
qj164680056865918689,2022/3/9 12:36,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164680057250118591,2022/3/9 12:36,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164681900830819836,2022/3/9 17:43,其它,支出,50,CNY,邮政储蓄,,水滴筹,,
qj164683370409111492,2022/3/9 21:48,交通,支出,1.5,CNY,邮政储蓄,,,,
qj164683372184619219,2022/3/9 21:48,做饭,支出,14.4,CNY,邮政储蓄,,香菇和火腿,,
qj164688128992817508,2022/3/10 11:01,三餐,支出,5,CNY,邮政储蓄,,,,
qj164691586494012237,2022/3/10 20:37,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164691586822018099,2022/3/10 20:37,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164691587722618695,2022/3/10 20:37,做饭,支出,5.5,CNY,邮政储蓄,,腐竹,,
qj164692790787115909,2022/3/10 23:58,三餐,支出,12,CNY,邮政储蓄,,,,
qj164692791385412890,2022/3/10 23:58,零食,支出,3.5,CNY,邮政储蓄,,,,
qj164700265322010217,2022/3/11 20:44,三餐,支出,4,CNY,邮政储蓄,,,,
qj164700265607810938,2022/3/11 20:44,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164700265997018623,2022/3/11 20:44,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164700270732018950,2022/3/11 20:45,水果,支出,4.1,CNY,邮政储蓄,,蕉,,
qj164700273435919076,2022/3/11 20:45,其它,转账,100,CNY,现金,邮政储蓄,,,
qj164708418467918647,2022/3/12 19:23,三餐,支出,7,CNY,邮政储蓄,,,,
qj164708418737213213,2022/3/12 19:23,零食,支出,3,CNY,邮政储蓄,,,,
qj164708420548019441,2022/3/12 19:23,做饭,支出,0.9,CNY,邮政储蓄,,芹菜,,
qj164708421806410782,2022/3/12 19:23,做饭,支出,2.1,CNY,邮政储蓄,,红洋葱,,
qj164708422939212502,2022/3/12 19:23,做饭,支出,1.8,CNY,邮政储蓄,,圆椒,,
qj164708424024217071,2022/3/12 19:24,做饭,支出,1.9,CNY,邮政储蓄,,娃娃菜,,
qj164708424553811892,2022/3/12 19:24,做饭,支出,4,CNY,邮政储蓄,,米,,
qj164708425656918274,2022/3/12 19:24,做饭,支出,0.5,CNY,邮政储蓄,,胡萝卜,,
qj164708426502114101,2022/3/12 19:24,做饭,支出,6.1,CNY,邮政储蓄,,肉沫,,
qj164708427266610140,2022/3/12 19:24,做饭,支出,2.9,CNY,邮政储蓄,,面,,
qj164708900031611637,2022/3/12 20:43,三餐,支出,20.8,CNY,邮政储蓄,,,,
qj164724695598111651,2022/3/13 16:35,三餐,支出,8.5,CNY,邮政储蓄,,,,
qj164724697512616940,2022/3/13 16:36,做饭,支出,35.1,CNY,邮政储蓄,,,,
qj164724703126114541,2022/3/13 16:37,做饭,支出,13,CNY,邮政储蓄,,,,
qj164724703730415215,2022/3/13 16:37,做饭,支出,2.5,CNY,邮政储蓄,,,,
qj164724704188610581,2022/3/13 16:37,零食,支出,28.2,CNY,邮政储蓄,,,,
qj164724705207117938,2022/3/14 16:37,三餐,支出,12,CNY,微信,,,,
qj164724706338719492,2022/3/14 16:37,外快,收入,166,CNY,微信,,,,
qj164726892945216811,2022/3/14 22:42,其它,支出,17.37,CNY,支付宝,,风扇,,
qj164735124522217803,2022/3/14 22:42,做饭,支出,28.4,CNY,微信,,,,
qj164735127390812321,2022/3/15 21:34,其它,支出,8.9,CNY,微信,,蚊香,,
qj164735129925510070,2022/3/15 21:34,做饭,支出,10.2,CNY,微信,,饺子皮+7.5两鸡腿,,
qj164745122193512319,2022/3/16 1:20,做饭,支出,3.3,CNY,微信,,,,
qj164745123889313657,2022/3/16 1:20,水果,支出,7.6,CNY,微信,,番石榴+青枣,,
qj164745124253817006,2022/3/16 1:20,三餐,支出,7,CNY,微信,,,,
qj164745126287016532,2022/3/16 1:21,外快,收入,366,CNY,微信,,,,
qj164760701159415801,2022/3/17 20:36,做饭,支出,12.9,CNY,微信,,,,
qj164760702139415770,2022/3/18 20:36,三餐,支出,17.1,CNY,微信,,,,
qj164760702793219384,2022/3/18 20:37,做饭,支出,13.1,CNY,微信,,,,
qj164761729883612654,2022/3/18 23:28,三餐,支出,12,CNY,微信,,,,
qj164761730499814288,2022/3/18 23:28,零食,支出,3,CNY,微信,,,,
qj164761735455112258,2022/3/18 23:29,利息,收入,0.3,CNY,支付宝,,,,
qj164768661348410723,2022/3/19 18:43,医疗,支出,718.8,CNY,邮政储蓄,,6支粉尘螨5号滴剂,,
qj164796451734410448,2022/3/19 23:55,衣服鞋,支出,119.1,CNY,邮政储蓄,,哭喊中心，短袖2,,
qj164775884067415454,2022/3/20 14:46,快递,支出,14,CNY,微信,,买药到付,,
qj164778436036415296,2022/3/20 21:52,做饭,支出,4,CNY,微信,,,,
qj164778441964618744,2022/3/20 21:53,做饭,支出,30.7,CNY,微信,,蒜蓉辣椒酱6，火锅底料10.8,,
qj164778443161018959,2022/3/20 21:53,三餐,支出,8,CNY,微信,,,,
qj164778443877016795,2022/3/20 21:53,三餐,支出,11,CNY,微信,,,,
qj164785364997117598,2022/3/21 17:07,利息,收入,0.08,CNY,微信,,,,
qj164785366090615208,2022/3/21 17:07,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164785366450818285,2022/3/21 17:07,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164796295278916807,2022/3/21 23:29,三餐,支出,10,CNY,微信,,,,
qj164796302496116351,2022/3/21 23:30,零食,支出,10.8,CNY,微信,,铜锣烧,,
qj164796304204410529,2022/3/21 23:30,三餐,支出,6.8,CNY,微信,,面包,,
qj164796323220618428,2022/3/21 23:33,日用品,支出,3,CNY,微信,,蚊香盘,,
qj164796437131919124,2022/3/21 23:52,交通,支出,2.95,CNY,邮政储蓄,,,,
qj164796458911213529,2022/3/21 23:56,利息,收入,0.61,CNY,邮政储蓄,,,,
qj165218920922113952,2022/3/21 23:56,利息,收入,0.02,CNY,招商储蓄,,,,
qj164796279955414472,2022/3/22 23:26,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164796280366318073,2022/3/22 23:26,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164796336637716965,2022/3/22 23:36,做饭,支出,13,CNY,微信,,,,
qj164796343511110321,2022/3/22 23:37,三餐,支出,13.8,CNY,微信,,豆奶粉,,
qj164796351325318213,2022/3/22 23:38,利息,收入,0.02,CNY,微信,,,,
qj164800552845218875,2022/3/23 11:18,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164800553011717453,2022/3/23 11:18,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164831897672417719,2022/3/23 11:18,做饭,支出,18.2,CNY,微信,,,,
qj164816732423619147,2022/3/24 8:15,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164816732625017251,2022/3/24 8:15,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164831896303215836,2022/3/24 8:15,做饭,支出,13.7,CNY,微信,,,,
qj164816733029611306,2022/3/25 8:15,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164816733175412590,2022/3/25 8:15,交通,支出,5.4,CNY,邮政储蓄,,,,
qj164816733605717357,2022/3/25 8:15,三餐,支出,6,CNY,微信,,,,
qj164817149506410394,2022/3/25 9:24,三餐,支出,2.5,CNY,微信,,,,
qj164831885308210000,2022/3/25 9:24,做饭,支出,58.3,CNY,微信,,2.5L金龙鱼调和油42.9+700g厨邦渔女耗油2瓶9.9+面包5.5,,
qj164831886109814089,2022/3/26 2:20,三餐,支出,10,CNY,微信,,,,
qj164831886387817456,2022/3/26 2:21,三餐,支出,10,CNY,微信,,,,
qj164831887216615652,2022/3/26 2:21,零食,支出,3.5,CNY,微信,,,,
